Job_Category,Experience_Level,Job_Completed,Earnings_USD,Hourly_Rate,project complexity
4,1.0,70,3052,50.87,2.0
2,2.0,107,3930,13.13,3.0
6,2.0,261,6988,49.17,1.0
4,0.0,45,958,24.37,1.0
5,0.0,9,1205,49.66,1.0
3,1.0,150,2327,19.58,1.0
0,0.0,56,4865,51.66,3.0
2,1.0,77,2744,25.68,1.0
1,0.0,7,607,7.19,3.0
4,0.0,56,1303,22.64,3.0
0,1.0,178,6388,54.37,3.0
1,1.0,146,1665,16.03,1.0
0,2.0,298,13829,75.69,2.0
4,0.0,6,1595,48.87,3.0
4,0.0,37,1276,31.29,1.0
4,2.0,121,5971,48.3,1.0
7,0.0,68,3096,48.11,4.0
3,0.0,64,560,12.46,2.0
0,1.0,135,6556,61.52,3.0
4,1.0,99,1803,63.35,3.0
5,1.0,135,2271,38.05,2.0
0,0.0,64,3811,37.06,4.0
6,0.0,62,1138,12.97,2.0
0,0.0,52,2946,35.68,5.0
6,0.0,51,1679,11.78,1.0
1,0.0,27,1392,8.35,3.0
2,0.0,28,1607,16.03,3.0
4,2.0,111,4205,37.56,3.0
2,0.0,33,1203,6.2,3.0
5,2.0,195,11696,58.12,1.0
6,2.0,239,7082,87.2,2.0
1,0.0,56,2163,25.83,3.0
5,2.0,285,9371,81.0,1.0
3,0.0,69,1054,12.74,1.0
0,2.0,272,14491,61.02,5.0
3,2.0,245,5191,11.24,1.0
7,1.0,166,2786,46.64,5.0
7,0.0,17,1884,59.26,5.0
7,0.0,25,3256,23.37,2.0
3,1.0,134,1578,11.76,1.0
4,1.0,52,4214,46.01,1.0
1,0.0,55,1064,32.29,3.0
6,2.0,205,6082,80.71,2.0
0,1.0,92,2815,54.41,4.0
4,2.0,259,4482,42.92,1.0
3,0.0,50,1167,7.32,1.0
7,0.0,60,1575,41.35,2.0
5,2.0,117,2456,66.91,2.0
0,0.0,29,2755,56.52,3.0
5,0.0,30,515,37.39,1.0
4,1.0,143,6479,28.67,3.0
6,2.0,217,3671,39.91,1.0
6,2.0,212,9621,58.26,3.0
3,2.0,109,1885,19.84,3.0
5,0.0,54,2439,18.79,1.0
6,0.0,18,2536,35.69,2.0
0,0.0,67,2430,49.11,5.0
6,2.0,291,3501,33.75,2.0
1,1.0,59,1957,29.76,1.0
2,0.0,49,490,16.69,3.0
1,1.0,153,4220,30.24,3.0
3,2.0,130,3228,21.15,3.0
3,0.0,61,730,3.55,2.0
